Lab.ID	BIOCYC.ID	Compound.name	mz	RT	CAS.ID	HMDB.ID	KEGG.ID	Formula	mz.pos	mz.neg	Submitter	Synonyms	monisotopic_molecular_weight	SMILES.ID	INCHI.ID	INCHIKEY.ID	Kingdom	Super_class	Class	Sub_class	direct_parent	molecular_framework	classyfire_status	classyfire_source	source
CPDMETA-13652	CPDMETA-13652	raucaffrinoline	352.1786926471					C21H24N2O3			plantcyc <https://plantcyc.org/>	(17 R ,20alpha,21beta)-1,2-didehydro-1-demethyl-19-hydroxy-21-methyl-18-norajmalan-17-yl acetate	352.1786926471	C[C@H]3([C@H](CO)[C@@H]2(C4([C@@H](OC(=O)C)C15(C6(\C(\N=C1\[C@H](C2)N3[C@H]4C5)=C/C=C\C=6)))))		XIMPCXFLDSKALH-GIELRJASSA-N									PlantCyc/PMN local PGDB
CPD-13573	CPD-13573	zealexin A1	234.1619799504					C15H21O2			plantcyc <https://plantcyc.org/>	4-(5,5-dimethylcyclohex-1-en-1-yl)-cyclohex-1-ene-1-carboxylic acid	234.1619799504	CC2(C)(CC(/[C@@H]1(C/C=C(CC1)/C([O-])=O))=C\CC2)		IQKSHFZTCNUYOT-LLVKDONJSA-M									PlantCyc/PMN local PGDB
CPD-724	CPD-724	6alpha-hydroxy-6-deoxocastasterone	466.3658247155					C28H50O5			plantcyc <https://plantcyc.org/>	hydroxydeoxocastasterone // 6alpha-hydroxycastasterone	466.3658247155	CC(C)[C@H](C)[C@@H](O)[C@H](O)[C@@H](C)[C@H]3(CC[C@H]4([C@@H]2(C[C@H](O)[C@H]1(C[C@H](O)[C@H](O)C[C@@](C)1[C@H]2CC[C@](C)34))))		CVXIEYXJQSRIAC-KLUYZAHOSA-N									PlantCyc/PMN local PGDB
CPD-15159	CPD-15159	(6R)-L- erythro -6,7-dihydrobiopterin	239.1018393096					C9H13N5O3			plantcyc <https://plantcyc.org/>	erythro -quinonoid dihydro-(6H)-biopterin // erythro -quinoid dihydrobiopterin // (6R)- erythro -6,7-dihydrobiopterin	239.1018393096	C[C@H](O)[C@H](O)[C@@H]1(/N=C2(C(/NC1)=N\C(/N)=N/C(=O)2))		ZHQJVZLJDXWFFX-RPDRRWSUSA-N									PlantCyc/PMN local PGDB
CPD-20323	CPD-20323	ent -isokauren-2beta-ol	288.2453156493					C20H32O			plantcyc <https://plantcyc.org/>	2alpha-hydroxy- ent -isokaurene	288.2453156493	CC1(\[C@H]4(C[C@]3(\C=1)(CC[C@@H]2(C(C)(C)C[C@H](O)C[C@](C)2[C@@H]3CC4))))		KMRGROLDAASNIW-UELOQWINSA-N									PlantCyc/PMN local PGDB
ALLANTOATE	ALLANTOATE	allantoate	176.054554766					C4H7N4O4			plantcyc <https://plantcyc.org/>	allantoic acid	176.054554766	C(C(=O)[O-])(NC(=O)N)NC(=O)N		NUCLJNSWZCHRKL-UHFFFAOYSA-M									PlantCyc/PMN local PGDB
CPDQT-295	CPDQT-295	7-(methylsulfinyl)heptyl-glucosinolate	479.0953582271					C15H28NO10S3			plantcyc <https://plantcyc.org/>	glucoibarin	479.0953582271	CS(=O)CCCCCCCC(\S[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)1))=N\OS(=O)(=O)[O-]		LQZALQLZOQQFGM-WSDYKABSSA-M									PlantCyc/PMN local PGDB
DIFLUOROMETHYLORNITHINE	DIFLUOROMETHYLORNITHINE	difluoromethylornithine	182.0866840398					C6H13N2O2F2			plantcyc <https://plantcyc.org/>		182.0866840398	C(CCC(C(F)F)([NH3+])C(=O)[O-])[NH3+]		VLCYCQAOQCDTCN-UHFFFAOYSA-O									PlantCyc/PMN local PGDB
CPD-204	CPD-204	gibberellin A 8	364.1522031251					C19H23O7			plantcyc <https://plantcyc.org/>	GA8 // 2beta-hydroxygibberellin 1	364.1522031251	C=C1([C@@]3(O)(C[C@]4(C1)([C@H]([C@@H]5([C@]2(C(=O)O[C@](C[C@H](O)[C@H](O)2)([C@@H](CC3)4)5)(C)))C([O-])=O)))		WZRRJZYYGOOHRC-AXLMTQBOSA-M									PlantCyc/PMN local PGDB
CPD-19421	CPD-19421	4'- O -methylnorbelladine	273.1364934814					C16H19NO3			plantcyc <https://plantcyc.org/>	5-({[2-(4-hydroxyphenyl)ethyl]amino}methyl)-2-methoxyphenol	273.1364934814	COC2(/C=C\C(\CNCCC1(\C=C/C(/O)=C\C=1))=C/C(/O)=2)		SDLILULALIDNSO-UHFFFAOYSA-N									PlantCyc/PMN local PGDB
CPD-22765	CPD-22765	4alpha-methyl-14alpha-hydroxymethyl-5alpha-cholesta-8,24-dien-3beta-ol	428.365430785					C29H48O2			plantcyc <https://plantcyc.org/>		428.365430785	CC(C)=CCC[C@@H](C)[C@H]2(CC[C@@]3(CO)(C4(\CC[C@H]1([C@H](C)[C@@H](O)CC[C@@](C)1C(\CC[C@](C)23)=4))))		FCBZHKUEDRJCAS-HUWKDVIGSA-N									PlantCyc/PMN local PGDB
CPD-17222	CPD-17222	(2R,3E)-phycocyanobilin	586.2791349732					C33H36N4O6			plantcyc <https://plantcyc.org/>		586.2791349732	C/C=C1([C@@H](C)C(NC\1=C/C4(/NC(/C=C3(C(/CCC([O-])=O)=C(C)/C(\C=C2(C(/C)=C(CC)/C(=O)N2))=N\3))=C(CCC([O-])=O)/C(\C)=4))=O)		INPDFIMLLXXDOQ-UAWLBFNISA-L									PlantCyc/PMN local PGDB
CPD-4182	CPD-4182	4alpha,14alpha-dimethyl-cholesta-8-enol	414.3861662271					C29H50O			plantcyc <https://plantcyc.org/>	31-nor-24(25)-dihydrolanosterol	414.3861662271	CC(C)CCC[C@@H](C)[C@H]2(CC[C@@]3(C)(C4(\CC[C@H]1([C@H](C)[C@@H](O)CC[C@@](C)1C(\CC[C@](C)23)=4))))		IXVNEXDHXGHWLS-PMIIOQGLSA-N									PlantCyc/PMN local PGDB
CPD-16689	CPD-16689	ent -cassa-12,15-dien-3beta-ol	288.2453156493					C20H32O			plantcyc <https://plantcyc.org/>	3alpha-hydroxy- ent -cassa-12,15-diene	288.2453156493	C=CC1([C@@H](C)[C@@H]2([C@@H](CC=1)[C@@]3(C)(C(CC2)C(C)(C)[C@H](O)CC3)))		BHRUCLDHUXEJQR-BOXOZTEYSA-N									PlantCyc/PMN local PGDB
