PlantCyc.ID	reaction_id	pathway_id	side	Compound.name	KEGG.ID	PubChem.ID	ChEBI.ID
CPD-12831	RXN-7569	PWY-5027	right	phylloquinol	C03313	5280585	28433
CPD-69	R524-RXN	CYANCAT-PWY	left	cyanate	C01417	105034	29195
MOCS3-Cysteine	RXN-12473	PWY-6823	right	a [molybdopterin synthase sulfurtransferase]-L-cysteine			
MOCS3-Cysteine	RXN-22698	PWY-6823	left	a [molybdopterin synthase sulfurtransferase]-L-cysteine			
MOCS3-Cysteine-Persulfide	RXN-22698	PWY-6823	right	a [molybdopterin synthase sulfurtransferase]- S -sulfanyl-L-cysteine			
MOCS3-Cysteine-Persulfide	RXN-12473	PWY-6823	left	a [molybdopterin synthase sulfurtransferase]- S -sulfanyl-L-cysteine			
CPD-19179	RXN-8340	PWY-6823	right	(8 S )-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate	C21310	135921686	131766
CPD-19179	RXN-17809	PWY-6823	left	(8 S )-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate	C21310	135921686	131766
PRECURSOR-Z	RXN-17809	PWY-6823	right	cyclic pyranopterin phosphate		135440046	59648
PRECURSOR-Z	RXN-8342	PWY-6823	left	cyclic pyranopterin phosphate		135440046	59648
CPD-4	RXN-8342	PWY-6823	right	molybdopterin	C05924	135398580	58698
DIOXINDOLE-3-ACETATE	RXN-9131	PWY-5811	left	2-(3-hydroxy-2-oxo-1 H -indol-3-yl)acetate		25202316	
DIOXINDOLE-3-ACETATE	RXN-9130	PWY-5811	right	2-(3-hydroxy-2-oxo-1 H -indol-3-yl)acetate		25202316	
CPD-9642	RXN-9131	PWY-5811	right	dioxindole-3-acetyl-3-O-beta-glucose		126961164	
CPD-6366	RXN-7082	PWY-4441	right	DIMBOA	C04720	25200838	18048
CPD-6998	RXN-7656	PWY-5061	right	6,7,4'-trihydroxyisoflavone	C14314	5284649	74957
CPD-6997	RXN-7655	PWY-5061	right	2,6,7,4'-tetrahydroxyisoflavanone	C16233	23724671	80397
CPD-6997	RXN-7656	PWY-5061	left	2,6,7,4'-tetrahydroxyisoflavanone	C16233	23724671	80397
CPD-6996	RXN-7654	PWY-5061	right	(2 S )-6,7,4'-trihydroxyflavanone	C16232	23724670	78026
CPD-6996	RXN-7655	PWY-5061	left	(2 S )-6,7,4'-trihydroxyflavanone	C16232	23724670	78026
2-KETO-GLUTARAMATE	RXN-13072	PWY-4361	left	2-oxoglutaramate	C00940	152239	16769
2-KETO-GLUTARAMATE	RXN-15650	PWY-4361	right	2-oxoglutaramate	C00940	152239	16769
CPD-8256	RXN-8439	PWY-5380	right	fagopyritol A2		10278846	175874
CPD-8256	RXN-8440	PWY-5380	left	fagopyritol A2		10278846	175874
CPD-8258	RXN-8440	PWY-5380	right	fagopyritol A3		10283250	193930
CPD-8257	RXN-8438	PWY-5380	right	fagopyritol A1		9840967	156276
